name
First aid kit
Map
Aux cord
Phone mount
Phone charger
Driver's license
Car title and registration
Roadside emergency kit
Water
Spare tire
Car jack and lug wrench
Tire repair kit
Sunshade
Hand sanitzer
Wet wipes
