name
Shampoo
Conditioner 
Hair-brush
Soap
Toothpaste
Toothbrush
Dental floss
Deodorant
Facial wipes
Facial cleanser
Facial moisturiser
Body moisturiser
Hand cream
Lip balm
Razor
Shaving gel
Tweezers
Small mirror
Nail file
Nail clippers
Cotton buds / cotton pads
Medication
Vitamins
Menstrual products
Tops
Bottoms
Undergarments
Belt
Socks
Sleepwear
Eye contacts
Contact solution
Contact case
Glasses
Prescription sunglasses
Sunscreen
Cologne / perfume
Hair wrap
Hair ties
Makeup
Haircare products
