name
Skis
Ski poles
Ski helmet
Ski goggles
Neck warmer
Full face mask
Jacket
Gloves
Mittens
Ski boots
Snowboard
Earmuffs
Beanie
Snow / waterproof boots
Waterproof socks
Scarf
Sweater
Thermal
